country;subject_descriptor;units;scale;y2017;y2018;y2019;y2020;y2021;y2022
Afghanistan;Gross domestic product per capita, constant prices;National currency;Units;14,247.508;14,376.938;14,609.516;14,920.610;15,304.267;15,775.929
Albania;Gross domestic product per capita, constant prices;National currency;Units;274,557.699;286,164.345;297,123.564;309,085.433;321,514.914;334,791.093
Algeria;Gross domestic product per capita, constant prices;National currency;Units;176,696.271;176,688.870;177,262.918;177,044.900;176,262.511;175,136.016
Angola;Gross domestic product per capita, constant prices;National currency;Units;55,911.652;53,320.433;51,997.016;51,937.119;51,543.125;51,523.873
Antigua and Barbuda;Gross domestic product per capita, constant prices;National currency;Units;36,525.369;38,061.472;39,156.083;40,019.614;40,583.268;40,954.467
Argentina;Gross domestic product per capita, constant prices;National currency;Units;16,457.721;15,868.410;15,506.332;15,668.609;15,995.738;16,359.018
Armenia;Gross domestic product per capita, constant prices;National currency;Units;1,210,235.393;1,270,986.493;1,328,788.748;1,388,473.164;1,450,838.389;1,516,004.837
Aruba;Gross domestic product per capita, constant prices;National currency;Units;30,738.141;30,992.656;31,102.350;31,278.029;31,528.042;31,788.066
Australia;Gross domestic product per capita, constant prices;National currency;Units;72,142.149;73,011.078;73,359.629;74,205.755;75,064.143;75,842.607
Austria;Gross domestic product per capita, constant prices;National currency;Units;37,068.825;37,774.569;38,238.057;38,623.434;38,975.105;39,314.866
Azerbaijan;Gross domestic product per capita, constant prices;National currency;Units;2,925.942;2,930.325;2,993.474;3,048.929;3,075.966;3,087.289
The Bahamas;Gross domestic product per capita, constant prices;National currency;Units;28,847.781;29,185.354;29,469.150;29,609.988;29,722.216;29,834.870
Bahrain;Gross domestic product per capita, constant prices;National currency;Units;8,559.555;8,545.191;8,532.182;8,540.402;8,570.085;8,607.672
Bangladesh;Gross domestic product per capita, constant prices;National currency;Units;60,370.690;64,368.477;68,352.103;72,386.743;76,659.537;81,184.543
Barbados;Gross domestic product per capita, constant prices;National currency;Units;32,301.439;32,058.603;31,946.057;32,056.411;32,454.923;32,968.456
Belarus;Gross domestic product per capita, constant prices;National currency;Units;8,148.164;8,437.350;8,628.614;8,866.688;9,100.299;9,324.483
Belgium;Gross domestic product per capita, constant prices;National currency;Units;38,042.582;38,389.152;38,684.170;39,019.425;39,390.427;39,777.057
Belize;Gross domestic product per capita, constant prices;National currency;Units;7,282.790;7,312.112;7,303.175;7,265.702;7,206.638;7,141.226
Benin;Gross domestic product per capita, constant prices;National currency;Units;389,558.634;404,205.332;419,314.820;435,389.719;452,193.131;469,675.532
Bhutan;Gross domestic product per capita, constant prices;National currency;Units;82,367.055;85,742.804;88,442.058;92,548.010;96,553.820;101,868.658
Bolivia;Gross domestic product per capita, constant prices;National currency;Units;4,176.443;4,287.431;4,388.709;4,488.060;4,585.242;4,680.016
Bosnia and Herzegovina;Gross domestic product per capita, constant prices;National currency;Units;8,212.624;8,475.585;8,742.770;9,031.731;9,346.187;9,685.581
Botswana;Gross domestic product per capita, constant prices;National currency;Units;40,311.731;41,393.533;42,228.584;43,157.946;44,062.487;45,088.061
Brazil;Gross domestic product per capita, constant prices;National currency;Units;5,636.113;5,657.260;5,733.182;5,839.149;5,930.556;6,025.212
Brunei Darussalam;Gross domestic product per capita, constant prices;National currency;Units;42,850.581;42,202.400;43,679.483;46,017.746;48,940.929;51,256.561
Bulgaria;Gross domestic product per capita, constant prices;National currency;Units;12,353.691;12,822.095;13,321.155;13,799.446;14,271.460;14,759.618
Burkina Faso;Gross domestic product per capita, constant prices;National currency;Units;256,867.267;268,634.642;277,088.590;285,873.686;295,107.600;304,724.642
Burundi;Gross domestic product per capita, constant prices;National currency;Units;158,636.356;154,245.123;150,379.915;146,729.917;143,168.511;139,693.548
Cabo Verde;Gross domestic product per capita, constant prices;National currency;Units;279,643.946;289,419.464;300,365.812;311,565.744;323,267.934;335,485.231
Cambodia;Gross domestic product per capita, constant prices;National currency;Units;3,071,108.383;3,245,117.673;3,415,635.660;3,591,750.266;3,772,256.125;3,955,007.781
Cameroon;Gross domestic product per capita, constant prices;National currency;Units;643,768.672;653,481.975;664,950.236;679,456.857;695,310.212;712,958.799
Canada;Gross domestic product per capita, constant prices;National currency;Units;55,261.471;55,506.300;55,607.537;56,147.380;56,620.225;57,020.483
Central African Republic;Gross domestic product per capita, constant prices;National currency;Units;130,455.274;133,499.654;137,536.405;141,570.899;145,747.389;150,123.053
Chad;Gross domestic product per capita, constant prices;National currency;Units;415,568.623;417,955.884;425,951.030;440,683.994;451,139.250;464,246.153
Chile;Gross domestic product per capita, constant prices;National currency;Units;8,051,293.219;8,289,482.267;8,483,403.567;8,668,660.450;8,836,979.207;9,009,056.305
China;Gross domestic product per capita, constant prices;National currency;Units;57,306.739;60,838.357;64,429.633;68,163.955;72,062.768;76,035.376
Colombia;Gross domestic product per capita, constant prices;National currency;Units;16,890,976.223;17,151,309.626;17,564,770.950;18,025,386.630;18,515,998.391;19,038,813.846
Comoros;Gross domestic product per capita, constant prices;National currency;Units;187,892.439;188,007.736;188,184.664;188,550.374;189,286.602;190,394.493
Democratic Republic of the Congo;Gross domestic product per capita, constant prices;National currency;Units;123,880.228;125,019.921;126,645.006;128,377.913;130,218.955;132,266.022
Republic of Congo;Gross domestic product per capita, constant prices;National currency;Units;364,936.537;358,901.742;369,222.900;365,796.883;363,595.692;354,610.602
Costa Rica;Gross domestic product per capita, constant prices;National currency;Units;5,564,825.667;5,647,698.611;5,746,057.370;5,839,996.623;5,946,968.845;6,061,792.069
CÙte d'Ivoire;Gross domestic product per capita, constant prices;National currency;Units;743,643.118;778,537.156;815,558.052;851,915.031;888,177.724;923,993.712
Croatia;Gross domestic product per capita, constant prices;National currency;Units;84,285.091;87,177.391;90,092.215;92,995.489;95,898.672;98,699.338
Cyprus;Gross domestic product per capita, constant prices;National currency;Units;22,850.789;23,477.731;24,142.725;24,793.895;25,355.186;25,857.056
Czech Republic;Gross domestic product per capita, constant prices;National currency;Units;435,217.538;447,299.068;459,681.246;471,470.053;482,725.442;494,193.772
Denmark;Gross domestic product per capita, constant prices;National currency;Units;351,692.684;353,975.566;357,344.859;361,023.601;364,213.805;367,361.023
Djibouti;Gross domestic product per capita, constant prices;National currency;Units;142,326.165;147,725.698;153,330.078;158,102.998;163,024.492;168,099.185
Dominica;Gross domestic product per capita, constant prices;National currency;Units;16,365.200;14,407.013;15,558.003;16,648.555;17,371.094;18,028.030
Dominican Republic;Gross domestic product per capita, constant prices;National currency;Units;230,953.434;244,673.420;254,638.075;264,696.740;275,276.311;286,178.343
Ecuador;Gross domestic product per capita, constant prices;National currency;Units;4,229.349;4,212.047;4,132.238;4,081.556;4,073.499;4,123.650
Egypt;Gross domestic product per capita, constant prices;National currency;Units;21,079.114;21,700.179;22,376.337;23,161.676;23,999.383;24,870.099
El Salvador;Gross domestic product per capita, constant prices;National currency;Units;3,686.167;3,746.080;3,805.120;3,857.259;3,906.187;3,955.751
Equatorial Guinea;Gross domestic product per capita, constant prices;National currency;Units;4,574,305.764;4,160,623.919;3,859,589.041;3,558,358.436;3,268,394.087;2,991,841.471
Eritrea;Gross domestic product per capita, constant prices;National currency;Units;3,760.104;3,843.928;3,916.325;4,003.832;4,111.699;4,247.660
Estonia;Gross domestic product per capita, constant prices;National currency;Units;14,540.263;15,089.502;15,531.212;15,973.424;16,416.295;16,876.245
Eswatini;Gross domestic product per capita, constant prices;National currency;Units;38,394.017;38,206.991;37,774.285;37,571.573;37,646.845;38,107.873
Ethiopia;Gross domestic product per capita, constant prices;National currency;Units;17,230.274;18,265.625;19,366.365;20,484.686;21,581.583;22,729.392
Fiji;Gross domestic product per capita, constant prices;National currency;Units;7,833.430;8,039.508;8,266.998;8,492.704;8,724.572;8,954.094
Finland;Gross domestic product per capita, constant prices;National currency;Units;35,758.019;36,492.273;37,071.778;37,587.301;37,988.359;38,347.919
France;Gross domestic product per capita, constant prices;National currency;Units;34,768.293;35,238.962;35,533.448;35,871.200;36,229.377;36,612.629
Gabon;Gross domestic product per capita, constant prices;National currency;Units;2,709,270.681;2,705,140.864;2,753,145.980;2,822,475.808;2,900,471.863;2,993,266.287
The Gambia;Gross domestic product per capita, constant prices;National currency;Units;25,735.364;26,593.729;27,170.121;27,719.450;28,220.372;28,673.528
Georgia;Gross domestic product per capita, constant prices;National currency;Units;7,615.983;8,010.686;8,416.602;8,877.883;9,262.430;9,664.293
Germany;Gross domestic product per capita, constant prices;National currency;Units;35,441.295;35,856.935;36,098.506;36,614.798;37,188.021;37,751.416
Ghana;Gross domestic product per capita, constant prices;National currency;Units;5,025.568;5,198.729;5,540.653;5,747.758;5,905.740;6,015.809
Greece;Gross domestic product per capita, constant prices;National currency;Units;17,384.263;17,802.406;18,321.959;18,811.332;19,217.218;19,551.561
Grenada;Gross domestic product per capita, constant prices;National currency;Units;22,106.346;23,060.841;23,924.925;24,387.323;24,937.819;25,497.789
Guatemala;Gross domestic product per capita, constant prices;National currency;Units;15,070.383;15,228.322;15,446.124;15,688.236;15,960.281;16,210.139
Guinea;Gross domestic product per capita, constant prices;National currency;Units;4,596,071.598;4,743,453.492;4,901,701.974;5,070,706.063;5,243,828.726;5,387,306.578
Guinea-Bissau;Gross domestic product per capita, constant prices;National currency;Units;283,915.245;288,360.102;296,260.379;304,377.101;312,716.200;321,210.620
Guyana;Gross domestic product per capita, constant prices;National currency;Units;522,874.940;537,725.768;556,571.815;719,045.859;885,836.020;997,786.867
Haiti;Gross domestic product per capita, constant prices;National currency;Units;1,460.348;1,464.154;1,468.464;1,473.000;1,478.502;1,484.330
Honduras;Gross domestic product per capita, constant prices;National currency;Units;22,320.406;22,753.750;23,120.358;23,508.147;23,918.280;24,352.009
Hong Kong SAR;Gross domestic product per capita, constant prices;National currency;Units;348,871.187;356,078.450;362,396.025;369,797.471;378,762.707;387,934.334
Hungary;Gross domestic product per capita, constant prices;National currency;Units;2,671,530.516;2,809,249.642;2,916,335.549;3,001,202.763;3,079,517.642;3,153,704.475
Iceland;Gross domestic product per capita, constant prices;National currency;Units;4,239,179.072;4,306,115.655;4,277,258.217;4,315,195.763;4,352,837.308;4,388,911.017
India;Gross domestic product per capita, constant prices;National currency;Units;100,082.778;105,749.938;111,951.565;118,772.704;126,303.902;134,300.987
Indonesia;Gross domestic product per capita, constant prices;National currency;Units;37,928,046.664;39,465,677.449;41,091,401.632;42,757,750.189;44,506,224.863;46,362,437.870
Islamic Republic of Iran;Gross domestic product per capita, constant prices;National currency;Units;85,244,458.130;80,964,262.559;75,271,180.322;74,629,064.037;74,519,294.444;74,527,286.862
Iraq;Gross domestic product per capita, constant prices;National currency;Units;5,433,212.377;5,323,863.357;5,334,117.821;5,621,304.008;5,606,825.280;5,579,469.566
Ireland;Gross domestic product per capita, constant prices;National currency;Units;60,535.113;63,703.896;65,494.093;67,081.454;68,492.933;69,760.121
Israel;Gross domestic product per capita, constant prices;National currency;Units;144,285.061;146,145.694;148,085.823;150,053.026;151,798.307;153,531.816
Italy;Gross domestic product per capita, constant prices;National currency;Units;26,403.196;26,682.308;26,592.729;26,843.990;27,032.567;27,210.946
Jamaica;Gross domestic product per capita, constant prices;National currency;Units;266,925.087;269,164.752;272,363.869;276,082.510;280,572.746;285,554.613
Japan;Gross domestic product per capita, constant prices;National currency;Units;4,182,474.398;4,224,798.096;4,276,553.372;4,310,588.655;4,350,171.978;4,390,220.804
Jordan;Gross domestic product per capita, constant prices;National currency;Units;2,929.022;2,926.833;2,941.915;2,971.542;3,015.807;3,074.918
